target,model_key,model_name,resampling,metrics,model_path
status_gizi_tbu,LGB_SMOTETomek,LGB,SMOTETomek,"{'accuracy': 0.8920454545454546, 'precision_weighted': 0.8968073593073593, 'recall_weighted': 0.8920454545454546, 'f1_weighted': 0.8927147079320992, 'f1_macro': 0.6376252028425942}",models_step11_all_ver5\status_gizi_tbu__lgb__smotetomek.joblib
status_gizi_tbu,XGB_SMOTETomek,XGB,SMOTETomek,"{'accuracy': 0.8977272727272727, 'precision_weighted': 0.905208592777086, 'recall_weighted': 0.8977272727272727, 'f1_weighted': 0.899805442040151, 'f1_macro': 0.6403678457381479}",models_step11_all_ver5\status_gizi_tbu__xgb__smotetomek.joblib
status_gizi_tbu,RF_SMOTETomek,RF,SMOTETomek,"{'accuracy': 0.8977272727272727, 'precision_weighted': 0.9179185319100092, 'recall_weighted': 0.8977272727272727, 'f1_weighted': 0.9070643834166732, 'f1_macro': 0.6015424504590311}",models_step11_all_ver5\status_gizi_tbu__rf__smotetomek.joblib
status_gizi_tbu,LGB_SMOTEENN,LGB,SMOTEENN,"{'accuracy': 0.8352272727272727, 'precision_weighted': 0.8854951414161941, 'recall_weighted': 0.8352272727272727, 'f1_weighted': 0.8511078318029898, 'f1_macro': 0.5957243009700823}",models_step11_all_ver5\status_gizi_tbu__lgb__smoteenn.joblib
status_gizi_tbu,XGB_SMOTEENN,XGB,SMOTEENN,"{'accuracy': 0.8011363636363636, 'precision_weighted': 0.8846789467253178, 'recall_weighted': 0.8011363636363636, 'f1_weighted': 0.8276281437142092, 'f1_macro': 0.4398494265297544}",models_step11_all_ver5\status_gizi_tbu__xgb__smoteenn.joblib
status_gizi_tbu,RF_SMOTEENN,RF,SMOTEENN,"{'accuracy': 0.8636363636363636, 'precision_weighted': 0.9164032111803778, 'recall_weighted': 0.8636363636363636, 'f1_weighted': 0.8808170995670995, 'f1_macro': 0.5427489177489178}",models_step11_all_ver5\status_gizi_tbu__rf__smoteenn.joblib
status_gizi_tbu,LGB_RandomOverSampler,LGB,RandomOverSampler,"{'accuracy': 0.8977272727272727, 'precision_weighted': 0.8982566346696781, 'recall_weighted': 0.8977272727272727, 'f1_weighted': 0.8975751060978333, 'f1_macro': 0.4796683046683047}",models_step11_all_ver5\status_gizi_tbu__lgb__randomoversampler.joblib
status_gizi_tbu,XGB_RandomOverSampler,XGB,RandomOverSampler,"{'accuracy': 0.8636363636363636, 'precision_weighted': 0.8879599567099568, 'recall_weighted': 0.8636363636363636, 'f1_weighted': 0.8732232732665257, 'f1_macro': 0.5700992161570511}",models_step11_all_ver5\status_gizi_tbu__xgb__randomoversampler.joblib
status_gizi_tbu,RF_RandomOverSampler,RF,RandomOverSampler,"{'accuracy': 0.8636363636363636, 'precision_weighted': 0.9027089072543618, 'recall_weighted': 0.8636363636363636, 'f1_weighted': 0.8762575452716298, 'f1_macro': 0.5419181757209925}",models_step11_all_ver5\status_gizi_tbu__rf__randomoversampler.joblib
status_gizi_tbu,LGB_Original,LGB,Original,"{'accuracy': 0.8806818181818182, 'precision_weighted': 0.9025750111957008, 'recall_weighted': 0.8806818181818182, 'f1_weighted': 0.8886601307189541, 'f1_macro': 0.5858496732026144}",models_step11_all_ver5\status_gizi_tbu__lgb__original.joblib
status_gizi_tbu,XGB_Original,XGB,Original,"{'accuracy': 0.8977272727272727, 'precision_weighted': 0.8711629279811098, 'recall_weighted': 0.8977272727272727, 'f1_weighted': 0.8842259225922592, 'f1_macro': 0.40429042904290424}",models_step11_all_ver5\status_gizi_tbu__xgb__original.joblib
status_gizi_tbu,RF_Original,RF,Original,"{'accuracy': 0.8806818181818182, 'precision_weighted': 0.8952008928571428, 'recall_weighted': 0.8806818181818182, 'f1_weighted': 0.8835195742104731, 'f1_macro': 0.5301054384017758}",models_step11_all_ver5\status_gizi_tbu__rf__original.joblib
status_gizi_bbtb,LGB_SMOTETomek,LGB,SMOTETomek,"{'accuracy': 0.8863636363636364, 'precision_weighted': 0.8863636363636364, 'recall_weighted': 0.8863636363636364, 'f1_weighted': 0.8863636363636364, 'f1_macro': 0.6763605442176871}",models_step11_all_ver5\status_gizi_bbtb__lgb__smotetomek.joblib
status_gizi_bbtb,XGB_SMOTETomek,XGB,SMOTETomek,"{'accuracy': 0.8863636363636364, 'precision_weighted': 0.8926541135120335, 'recall_weighted': 0.8863636363636364, 'f1_weighted': 0.8889839900644323, 'f1_macro': 0.6647520845741512}",models_step11_all_ver5\status_gizi_bbtb__xgb__smotetomek.joblib
status_gizi_bbtb,RF_SMOTETomek,RF,SMOTETomek,"{'accuracy': 0.8238636363636364, 'precision_weighted': 0.8674718174568653, 'recall_weighted': 0.8238636363636364, 'f1_weighted': 0.8391869357713759, 'f1_macro': 0.6034261016234451}",models_step11_all_ver5\status_gizi_bbtb__rf__smotetomek.joblib
status_gizi_bbtb,LGB_SMOTEENN,LGB,SMOTEENN,"{'accuracy': 0.7954545454545454, 'precision_weighted': 0.8572868538643413, 'recall_weighted': 0.7954545454545454, 'f1_weighted': 0.8162910920210191, 'f1_macro': 0.5791132373249162}",models_step11_all_ver5\status_gizi_bbtb__lgb__smoteenn.joblib
status_gizi_bbtb,XGB_SMOTEENN,XGB,SMOTEENN,"{'accuracy': 0.8011363636363636, 'precision_weighted': 0.8795473174366617, 'recall_weighted': 0.8011363636363636, 'f1_weighted': 0.8251195866786015, 'f1_macro': 0.5867858099735423}",models_step11_all_ver5\status_gizi_bbtb__xgb__smoteenn.joblib
status_gizi_bbtb,RF_SMOTEENN,RF,SMOTEENN,"{'accuracy': 0.7840909090909091, 'precision_weighted': 0.8668261997149191, 'recall_weighted': 0.7840909090909091, 'f1_weighted': 0.8101981351981352, 'f1_macro': 0.6368589743589744}",models_step11_all_ver5\status_gizi_bbtb__rf__smoteenn.joblib
status_gizi_bbtb,LGB_RandomOverSampler,LGB,RandomOverSampler,"{'accuracy': 0.8806818181818182, 'precision_weighted': 0.8753443526170799, 'recall_weighted': 0.8806818181818182, 'f1_weighted': 0.8774928135106002, 'f1_macro': 0.558421392272324}",models_step11_all_ver5\status_gizi_bbtb__lgb__randomoversampler.joblib
status_gizi_bbtb,XGB_RandomOverSampler,XGB,RandomOverSampler,"{'accuracy': 0.9034090909090909, 'precision_weighted': 0.8887272041683807, 'recall_weighted': 0.9034090909090909, 'f1_weighted': 0.8950575560802833, 'f1_macro': 0.5791991341991343}",models_step11_all_ver5\status_gizi_bbtb__xgb__randomoversampler.joblib
status_gizi_bbtb,RF_RandomOverSampler,RF,RandomOverSampler,"{'accuracy': 0.875, 'precision_weighted': 0.8629706386328903, 'recall_weighted': 0.875, 'f1_weighted': 0.8685337313693019, 'f1_macro': 0.5351150527325024}",models_step11_all_ver5\status_gizi_bbtb__rf__randomoversampler.joblib
status_gizi_bbtb,LGB_Original,LGB,Original,"{'accuracy': 0.875, 'precision_weighted': 0.8625649350649351, 'recall_weighted': 0.875, 'f1_weighted': 0.8686472879262848, 'f1_macro': 0.5369209334726576}",models_step11_all_ver5\status_gizi_bbtb__lgb__original.joblib
status_gizi_bbtb,XGB_Original,XGB,Original,"{'accuracy': 0.9090909090909091, 'precision_weighted': 0.8958028950216449, 'recall_weighted': 0.9090909090909091, 'f1_weighted': 0.8928537778478554, 'f1_macro': 0.5646248431264718}",models_step11_all_ver5\status_gizi_bbtb__xgb__original.joblib
status_gizi_bbtb,RF_Original,RF,Original,"{'accuracy': 0.8295454545454546, 'precision_weighted': 0.8920174928418039, 'recall_weighted': 0.8295454545454546, 'f1_weighted': 0.8483604291086043, 'f1_macro': 0.6827858880778589}",models_step11_all_ver5\status_gizi_bbtb__rf__original.joblib
status_gizi_bbu,LGB_SMOTETomek,LGB,SMOTETomek,"{'accuracy': 0.9204545454545454, 'precision_weighted': 0.921644656019656, 'recall_weighted': 0.9204545454545454, 'f1_weighted': 0.9209716914995507, 'f1_macro': 0.7659389594873466}",models_step11_all_ver5\status_gizi_bbu__lgb__smotetomek.joblib
